City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Mahebourg,MU,2021-01-12 22:27:38,-20.4081,57.7,78.8,89,75,11.5
280,Raga,SS,2021-01-12 22:27:38,8.4596,25.678,68.7,25,0,4.32
281,Arinos,BR,2021-01-12 22:27:39,-15.9169,-46.1056,75.4,84,98,1.61
282,Lucapa,AO,2021-01-12 22:27:39,-8.4192,20.7447,67.03,90,89,3.22
283,Lagoa,PT,2021-01-12 22:27:39,39.05,-27.9833,60.6,90,100,12.15
284,Beringovskiy,RU,2021-01-12 22:27:39,63.05,179.3167,-17.57,84,99,12.01
285,Beloha,MG,2021-01-12 22:27:39,-25.1667,45.05,74.71,86,1,11.34
286,Plettenberg Bay,ZA,2021-01-12 22:27:39,-34.0527,23.3716,69.76,91,90,15.88
287,Fort-Shevchenko,KZ,2021-01-12 22:27:39,44.5086,50.263,35.26,82,100,13.69
288,Bandarbeyla,SO,2021-01-12 22:27:39,9.4942,50.8122,72.57,74,44,23.51
289,Shimoda,JP,2021-01-12 22:27:40,34.6667,138.95,32.0,93,0,16.69
290,Barra Dos Coqueiros,BR,2021-01-12 22:27:40,-10.9089,-37.0386,80.6,78,20,10.36
291,Narsaq,GL,2021-01-12 22:27:40,60.9167,-46.05,42.8,42,75,14.97
292,Sur,OM,2021-01-12 22:27:40,22.5667,59.5289,64.51,57,17,6.06
293,Ferrol,ES,2021-01-12 22:27:40,43.4832,-8.2369,44.01,100,20,5.75
